id,ship_name,flag_state,date,timber_tons,tar_tons,pitch_tons,hemp_tons,flag_hopping,raw_text,evasion_tactic_verified
HCA_32_5101,James Lovett,French,1807-01-28,412,0,0,0,0,"Manifest of the ship James Lovett sailing under French colors. Dated 1807-01-28. Cargo consisting of: 118 tons of wheat, 412 tons of timber.",False
HCA_32_2538,Merchant of Venice,Neutral (American),1808-11-14,0,0,0,448,0,Manifest of the ship Merchant of Venice sailing under Neutral (American) colors. Dated 1808-11-14. Cargo consisting of: 448 tons of hemp.,False
HCA_32_2649,Flora,Neutral (Swedish),1806-04-21,0,0,0,0,1,Manifest of the ship Flora sailing under Neutral (Swedish) colors. Dated 1806-04-21. Cargo consisting of: 464 tons of wheat. Note: Suspicious registry papers indicate prior British ownership.,False
HCA_32_1877,Baltic Star,Neutral (Swedish),1808-08-04,75,490,0,0,0,"Manifest of the ship Baltic Star sailing under Neutral (Swedish) colors. Dated 1808-08-04. Cargo consisting of: 75 tons of timber, 125 tons of iron, 490 tons of tar.",False
HCA_32_2907,Flora,British,1806-09-13,283,455,111,0,0,"Manifest of the ship Flora sailing under British colors. Dated 1806-09-13. Cargo consisting of: 283 tons of timber, 455 tons of tar, 111 tons of pitch.",False
HCA_32_1527,Sea Gull,British,1809-03-27,260,0,0,0,0,"Manifest of the ship Sea Gull sailing under British colors. Dated 1809-03-27. Cargo consisting of: 301 tons of wheat, 130 tons of iron, 260 tons of timber.",False
HCA_32_9230,St. Petersburg Trader,Dutch,1809-05-10,0,0,104,291,0,"Manifest of the ship St. Petersburg Trader sailing under Dutch colors. Dated 1809-05-10. Cargo consisting of: 52 tons of iron, 291 tons of hemp, 104 tons of pitch.",False
HCA_32_7620,Baltic Star,British,1809-08-29,0,268,0,0,0,"Manifest of the ship Baltic Star sailing under British colors. Dated 1809-08-29. Cargo consisting of: 268 tons of tar, 177 tons of iron.",False
HCA_32_2183,Baltic Star,British,1806-12-21,0,0,0,287,0,"Manifest of the ship Baltic Star sailing under British colors. Dated 1806-12-21. Cargo consisting of: 287 tons of hemp, 224 tons of wheat.",False
HCA_32_9798,Baltic Star,Neutral (American),1808-01-21,488,0,323,0,1,"Manifest of the ship Baltic Star sailing under Neutral (American) colors. Dated 1808-01-21. Cargo consisting of: 488 tons of timber, 323 tons of pitch, 261 tons of wheat. Note: Suspicious registry papers indicate prior British ownership.",True
HCA_32_8158,Merchant of Venice,French,1806-09-21,0,0,308,0,0,"Manifest of the ship Merchant of Venice sailing under French colors. Dated 1806-09-21. Cargo consisting of: 163 tons of wheat, 308 tons of pitch, 110 tons of wheat.",False
HCA_32_6807,Sea Gull,Neutral (Danish),1807-11-30,329,0,454,104,0,"Manifest of the ship Sea Gull sailing under Neutral (Danish) colors. Dated 1807-11-30. Cargo consisting of: 104 tons of hemp, 454 tons of pitch, 329 tons of timber.",False
HCA_32_7246,Flora,Neutral (American),1807-11-14,0,310,0,0,0,Manifest of the ship Flora sailing under Neutral (American) colors. Dated 1807-11-14. Cargo consisting of: 310 tons of tar.,False
HCA_32_9643,Flora,Dutch,1806-03-13,0,0,0,0,0,"Manifest of the ship Flora sailing under Dutch colors. Dated 1806-03-13. Cargo consisting of: 270 tons of iron, 302 tons of iron, 422 tons of wheat, 266 tons of iron.",False
HCA_32_8857,Nordic Wind,French,1806-12-19,0,405,0,82,0,"Manifest of the ship Nordic Wind sailing under French colors. Dated 1806-12-19. Cargo consisting of: 405 tons of tar, 82 tons of hemp, 275 tons of tar, 246 tons of wheat.",False
HCA_32_8799,Flora,Neutral (American),1809-10-19,229,0,0,0,0,"Manifest of the ship Flora sailing under Neutral (American) colors. Dated 1809-10-19. Cargo consisting of: 229 tons of timber, 369 tons of wheat.",False
HCA_32_6995,Nordic Wind,Dutch,1808-05-08,0,0,0,0,0,"Manifest of the ship Nordic Wind sailing under Dutch colors. Dated 1808-05-08. Cargo consisting of: 281 tons of wheat, 454 tons of iron, 403 tons of wheat.",False
HCA_32_7195,Merchant of Venice,Dutch,1808-10-23,310,0,0,0,0,"Manifest of the ship Merchant of Venice sailing under Dutch colors. Dated 1808-10-23. Cargo consisting of: 252 tons of wheat, 310 tons of timber, 392 tons of wheat.",False
HCA_32_1112,Sea Gull,Dutch,1808-11-17,0,0,196,290,0,"Manifest of the ship Sea Gull sailing under Dutch colors. Dated 1808-11-17. Cargo consisting of: 196 tons of pitch, 290 tons of hemp, 467 tons of iron, 102 tons of iron.",False
HCA_32_5265,St. Petersburg Trader,French,1807-06-27,416,0,0,0,0,"Manifest of the ship St. Petersburg Trader sailing under French colors. Dated 1807-06-27. Cargo consisting of: 365 tons of iron, 229 tons of iron, 416 tons of timber.",False
HCA_32_8754,Sea Gull,British,1808-05-14,65,0,0,0,0,"Manifest of the ship Sea Gull sailing under British colors. Dated 1808-05-14. Cargo consisting of: 65 tons of timber, 482 tons of timber, 404 tons of wheat, 200 tons of wheat.",False
HCA_32_9381,James Lovett,Dutch,1809-12-17,489,0,0,0,0,Manifest of the ship James Lovett sailing under Dutch colors. Dated 1809-12-17. Cargo consisting of: 489 tons of timber.,False
HCA_32_9687,Flora,Dutch,1809-10-09,0,0,386,185,0,"Manifest of the ship Flora sailing under Dutch colors. Dated 1809-10-09. Cargo consisting of: 185 tons of hemp, 386 tons of pitch.",False
HCA_32_4064,St. Petersburg Trader,Neutral (Danish),1808-06-03,434,0,0,269,0,"Manifest of the ship St. Petersburg Trader sailing under Neutral (Danish) colors. Dated 1808-06-03. Cargo consisting of: 434 tons of timber, 269 tons of hemp.",False
HCA_32_8837,Nordic Wind,Dutch,1808-03-30,0,0,261,0,0,"Manifest of the ship Nordic Wind sailing under Dutch colors. Dated 1808-03-30. Cargo consisting of: 405 tons of wheat, 261 tons of pitch.",False
HCA_32_2671,Flora,Neutral (American),1806-04-22,0,0,377,472,0,"Manifest of the ship Flora sailing under Neutral (American) colors. Dated 1806-04-22. Cargo consisting of: 377 tons of pitch, 386 tons of wheat, 472 tons of hemp, 191 tons of pitch.",False
HCA_32_7820,Baltic Star,Neutral (Swedish),1806-01-03,281,384,0,0,0,"Manifest of the ship Baltic Star sailing under Neutral (Swedish) colors. Dated 1806-01-03. Cargo consisting of: 126 tons of wheat, 281 tons of timber, 384 tons of tar.",False
HCA_32_3349,Sea Gull,British,1807-08-29,0,0,352,0,0,"Manifest of the ship Sea Gull sailing under British colors. Dated 1807-08-29. Cargo consisting of: 352 tons of pitch, 104 tons of pitch, 78 tons of pitch, 480 tons of pitch.",False
HCA_32_1130,Baltic Star,Neutral (Danish),1807-12-18,153,0,0,214,0,"Manifest of the ship Baltic Star sailing under Neutral (Danish) colors. Dated 1807-12-18. Cargo consisting of: 214 tons of hemp, 435 tons of wheat, 153 tons of timber.",False
HCA_32_3433,Sea Gull,French,1808-12-26,499,0,0,0,0,"Manifest of the ship Sea Gull sailing under French colors. Dated 1808-12-26. Cargo consisting of: 499 tons of timber, 123 tons of wheat.",False
